state_name|postcode|locality_name|SA1_MAINCODE_2016|LGA_CODE_2020|longitude|latitude
AUSTRALIAN CAPITAL TERRITORY|0200|AUSTRALIAN NATIONAL UNIVERSITY|80105104901|89399|149.1189|-35.2777
AUSTRALIAN CAPITAL TERRITORY|0200||80105104901|89399|149.1189|-35.2777
AUSTRALIAN CAPITAL TERRITORY|2540|HMAS CRESWELL|11401127823|16950|150.61644|-34.863483
AUSTRALIAN CAPITAL TERRITORY|2540|JERVIS BAY|11401127823|16950|150.61644|-34.863483
AUSTRALIAN CAPITAL TERRITORY|2540||11401127823|16950|150.61644|-34.863483
AUSTRALIAN CAPITAL TERRITORY|2600|BARTON|80103111401|89399|149.201072|-35.302911
AUSTRALIAN CAPITAL TERRITORY|2600|CANBERRA|80103111401|89399|149.201072|-35.302911
AUSTRALIAN CAPITAL TERRITORY|2600|CAPITAL HILL|80103111401|89399|149.201072|-35.302911
AUSTRALIAN CAPITAL TERRITORY|2600|DEAKIN|80103111401|89399|149.201072|-35.302911
AUSTRALIAN CAPITAL TERRITORY|2600|DEAKIN WEST|80103111401|89399|149.201072|-35.302911
AUSTRALIAN CAPITAL TERRITORY|2600|DUNTROON|80103111401|89399|149.201072|-35.302911
AUSTRALIAN CAPITAL TERRITORY|2600|FAIRBAIRN RAAF|80103111401|89399|149.201072|-35.302911
AUSTRALIAN CAPITAL TERRITORY|2600|HARMAN|80103111401|89399|149.201072|-35.302911
AUSTRALIAN CAPITAL TERRITORY|2600|HMAS HARMAN|80103111401|89399|149.201072|-35.302911
AUSTRALIAN CAPITAL TERRITORY|2600|PARKES|80103111401|89399|149.201072|-35.302911
AUSTRALIAN CAPITAL TERRITORY|2600|PARLIAMENT HOUSE|80103111401|89399|149.201072|-35.302911
AUSTRALIAN CAPITAL TERRITORY|2600|RUSSELL|80103111401|89399|149.201072|-35.302911
AUSTRALIAN CAPITAL TERRITORY|2600|RUSSELL HILL|80103111401|89399|149.201072|-35.302911
AUSTRALIAN CAPITAL TERRITORY|2600|YARRALUMLA|80103111401|89399|149.201072|-35.302911
AUSTRALIAN CAPITAL TERRITORY|2600||80103111401|89399|149.201072|-35.302911
AUSTRALIAN CAPITAL TERRITORY|2601|ACTON|80105104902|89399|149.113796|-35.275863
AUSTRALIAN CAPITAL TERRITORY|2601|BLACK MOUNTAIN|80105104902|89399|149.113796|-35.275863
AUSTRALIAN CAPITAL TERRITORY|2601|CANBERRA|80105104902|89399|149.113796|-35.275863
